218.25.54.12 - - [26/Sep/2013:04:45:22 -0300] "GET /manager/html HTTP/1.1" 404 975
143.107.162.166 - - [26/Sep/2013:12:20:48 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:48 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:49 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:49 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:49 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:50 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:50 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:50 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:50 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:51 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:51 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:51 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:52 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:52 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:52 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:53 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:53 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:53 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:53 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:54 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:54 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:54 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:55 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
143.107.162.166 - - [26/Sep/2013:12:20:55 -0300] "POST /remoto//servlet/ProgressBarServlet HTTP/1.1" 200 24
