127.0.0.1 - - [07/May/2014:16:51:23 -0300] "GET / HTTP/1.1" 404 951
143.107.162.166 - - [07/May/2014:16:54:49 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.48775388698880995 HTTP/1.1" 200 29311
143.107.162.166 - - [07/May/2014:16:54:51 -0300] "POST /remoto/network.do HTTP/1.1" 200 19170
143.107.162.166 - - [07/May/2014:16:54:52 -0300] "GET /remoto/servlet/ServletChartGenerator?cdSimulation=neuronPositions&id=0.7019901765461615 HTTP/1.1" 200 29311
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/start.do HTTP/1.1" 302 -
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/finish.jsp?status=finished HTTP/1.1" 200 7326
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/bg.css HTTP/1.1" 200 84
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/hint.css HTTP/1.1" 200 109
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBarHorizontal.css HTTP/1.1" 200 6080
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBar.js HTTP/1.1" 200 22007
143.107.162.166 - - [07/May/2014:16:54:55 -0300] "GET /remoto/jsp/favicon.ico HTTP/1.1" 404 995
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBarDownHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBarRightHover.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/bg1.jpg HTTP/1.1" 200 561841
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBarDown.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/SpryAssets/SpryMenuBarRight.gif HTTP/1.1" 200 55
143.107.162.166 - - [07/May/2014:16:54:56 -0300] "GET /remoto/jsp/remoto_top.png HTTP/1.1" 200 96503
143.107.162.166 - - [07/May/2014:16:55:03 -0300] "POST /remoto/simulation.do HTTP/1.1" 200 7365
143.107.162.166 - - [07/May/2014:16:55:06 -0300] "GET /remoto/input.do HTTP/1.1" 200 25321
